n1_total,y_CO_1,y_H2O_1,n2_total,T1,T_reactor_in,P_R,T_flash,T4,Q1_MW,Q2_MW,T_reactor_out,X_CO,T3,P3,n3_total,y_CO_3,y_H2_3,y_MeOH_3,y_H2O_3,P4,n4_total,x_CO_4,x_H2_4,x_MeOH_4,x_H2O_4,MeOH_recovery,MeOH_purity_stream4
1020.7092,0.411988967,0.0212223503,193.792826,315.588807,524.183136,76.0569143,295.697936,293.697936,2.10141214,-0.00135541773,630.011977,0.091803478,295.697936,76.0569143,1078.35351,0.354052116,0.644578439,0.00123828074,0.000131165003,76.0569143,58.9379511,0.00207512989,0.000428617764,0.632359604,0.365136648,0.965411357,0.632359604
943.923786,0.406047402,0.0213106461,125.458395,311.692603,513.918428,74.4659451,303.64731,301.64731,1.78291375,-0.00126060869,626.082773,0.0939786545,303.64731,74.4659451,943.069553,0.36810557,0.629781132,0.00189814971,0.000215147738,74.4659451,54.2727627,0.00200308472,0.000395751828,0.630700245,0.366900918,0.950302871,0.630700245
878.989315,0.283915173,0.0118981247,18.9005258,309.571211,539.04324,68.5481562,323.05394,294.814178,1.68866026,-0.0100214741,629.301546,0.0975671177,323.05394,68.5481562,819.227486,0.274860249,0.719170459,0.00537138469,0.000597907185,68.5481562,29.9649666,0.00122271558,0.000384357657,0.665721021,0.332671905,0.819276305,0.665721021
1334.3314,0.30020938,0.0396200869,54.082992,292.116959,502.836751,65.2427174,328.24094,326.24094,2.395962,-0.00208132296,615.180703,0.117536974,328.24094,65.2427174,1201.44093,0.294133266,0.699802379,0.00471969704,0.00134465758,65.2427174,92.8078149,0.00120933779,0.000349074274,0.446216548,0.552225039,0.879564622,0.446216548
1084.30544,0.387918215,0.0134431179,274.804958,294.51462,528.727625,77.4580681,339.150917,282.65981,2.59354748,-0.0297543363,632.726807,0.100799759,339.150917,77.4580681,1230.37352,0.307354709,0.681986314,0.00962790633,0.00103107066,77.4580681,43.9397246,0.00141462311,0.000388354099,0.695331131,0.302865892,0.72060571,0.695331131
1261.12094,0.406537327,0.000169897652,359.117648,310.489803,528.096412,68.0203589,293.930903,283.542457,2.91407344,-0.00596613988,627.274436,0.0938407264,293.930903,68.0203589,1478.52431,0.314168282,0.683850793,0.00197924637,1.67831581e-06,68.0203589,45.4913611,0.00166701051,0.000410003683,0.993267595,0.00465539062,0.939175324,0.993267595
1041.78255,0.425669783,0.00669525059,36.0823629,310.782088,515.153591,73.0521966,302.833246,300.833246,1.80133927,-0.000991718239,625.546885,0.0803388599,302.833246,73.0521966,966.350893,0.421935233,0.57553301,0.00243426668,9.74909548e-05,73.0521966,40.260628,0.00226441045,0.000356054927,0.826473488,0.170906047,0.933972106,0.826473488
847.912808,0.356246228,0.0332988458,310.930886,311.604503,539.967258,79.5060286,303.67307,301.67307,2.20596991,-0.0013435886,635.092051,0.109913371,303.67307,79.5060286,1032.69638,0.260264638,0.737982379,0.00149549695,0.000257486342,79.5060286,59.7451869,0.00151186026,0.000495077398,0.529861416,0.468131646,0.95348359,0.529861416
1300.03565,0.438760052,0.0230723002,186.185385,299.319807,501.461259,76.5783262,321.818538,319.818538,2.45634977,-0.00186121632,623.746869,0.0956299242,321.818538,76.5783262,1298.68316,0.397094654,0.598066618,0.00427459331,0.000564134489,76.5783262,78.4425528,0.00198753163,0.0003587795,0.624614059,0.37303963,0.898229512,0.624614059
882.184495,0.433042095,0.0265997325,308.361596,314.121025,516.941916,62.3379672,356.409457,322.357422,2.0167153,-0.0148326773,618.530848,0.0952240397,356.409457,62.3379672,1080.20507,0.319943286,0.659403419,0.0162697665,0.00438352847,62.3379672,37.5854666,0.00108781536,0.000285421244,0.500275578,0.498351186,0.516884027,0.500275578
